Sent,Word,Tag
sent: 0,Bahubali,B-Per
sent: 0,2,Other
sent: 0,ke,Other
sent: 0,liye,Other
sent: 0,line,Other
sent: 0,lag,Other
sent: 0,sakte,Other
sent: 0,hai,Other
sent: 0,desh,B-Org
sent: 0,ke,Other
sent: 0,liye,Other
sent: 0,kyun,Other
sent: 0,lage,Other
sent: 0,line,Other
sent: 0,me,Other
sent: 0,...,Other
sent: 0,#notebandi,Other
sent: 0,#Bahubali2,B-Per
""
sent: 1,agar,Other
sent: 1,#notebandi,Other
sent: 1,ke,Other
sent: 1,time,Other
sent: 1,political,B-Org
sent: 1,party,I-Org
sent: 1,bhi,Other
sent: 1,#rti,Other
sent: 1,ke,Other
sent: 1,daayre,Other
sent: 1,me,Other
sent: 1,aa,Other
sent: 1,jati,Other
sent: 1,to,Other
sent: 1,#sukmaattack,Other
sent: 1,#kashmir,B-Loc
sent: 1,me,Other
sent: 1,patthar,Other
sent: 1,attack,Other
sent: 1,na,Other
sent: 1,hote,Other
sent: 1,@PMOIndia,Other
""
sent: 2,#Notebandi,Other
sent: 2,se,Other
sent: 2,Kuch,Other
sent: 2,fyda,Other
sent: 2,nahi,Other
sent: 2,hua,Other
sent: 2,lekin,Other
sent: 2,yeh,Other
sent: 2,baat,Other
sent: 2,public,B-Org
sent: 2,tak,Other
sent: 2,nahi,Other
sent: 2,pahuncha,Other
sent: 2,sake,Other
sent: 2,Root,Other
sent: 2,level,Other
sent: 2,se,Other
sent: 2,kaam,Other
sent: 2,nahi,Other
sent: 2,hua,Other
""
sent: 3,kabhi,Other
sent: 3,aap,Other
sent: 3,logo,Other
sent: 3,na,Other
sent: 3,Lokpal,B-Org
sent: 3,par,Other
sent: 3,baat,Other
sent: 3,ki,Other
sent: 3,?,Other
sent: 3,kyo,Other
sent: 3,?,Other
sent: 3,aakhir,Other
sent: 3,modi,B-Per
sent: 3,ji,I-Per
sent: 3,na,Other
sent: 3,kya,Other
sent: 3,de,Other
sent: 3,rakha,Other
sent: 3,hai,Other
sent: 3,media,B-Org
sent: 3,ko,Other
sent: 3,?,Other
sent: 3,naxali,B-Org
sent: 3,",",Other
sent: 3,aatankwad,B-Org
sent: 3,?,Other
sent: 3,#notebandi,Other
sent: 3,sa,Other
sent: 3,kya,Other
sent: 3,mila,Other
sent: 3,?,Other
""
sent: 4,Inle,Other
sent: 4,bas,Other
sent: 4,ki,Other
sent: 4,baat,Other
sent: 4,nahi,Other
sent: 4,hai,Other
sent: 4,vishwas,Other
sent: 4,dila,Other
sent: 4,pana!Ye,Other
sent: 4,kewal,Other
sent: 4,#Notebandi,Other
sent: 4,jaisa,Other
sent: 4,disruption,Other
sent: 4,hi,Other
sent: 4,kar,Other
sent: 4,sakte,Other
sent: 4,hain,Other
sent: 4,jiska,Other
sent: 4,result,Other
sent: 4,zero,Other
sent: 4,hai,Other
sent: 4,!,Other
""
sent: 5,@ArvindKejriwal,B-Per
sent: 5,@DrKumarVishwas,B-Per
sent: 5,@msisodia,B-Per
sent: 5,@ashutosh83B,B-Per
sent: 5,@raghav_chadha,B-Per
sent: 5,Elections,Other
sent: 5,se,Other
sent: 5,pehle,Other
sent: 5,tum,Other
sent: 5,logon,Other
sent: 5,ne,Other
sent: 5,#NoteBandi,Other
sent: 5,ka,Other
sent: 5,mudda,Other
sent: 5,uthaya,Other
sent: 5,",",Other
sent: 5,janta,Other
